query_id	 spl_est	 spl_ci	 aqpp_est	 aqpp_ci	 real_value	 selectively	 time_spl	 time_aqpp	 time_direct	 error_spl	 error_aqpp	  blb_filtering	 blb_resampling	 blb_aggregation	 full_blb
34	434619232739.927734	8956794256.903191	-1.000000	1867806813.238658	18568744461.439999	0.014852	0.023000	0.534000	0.036000	0.482359	0.100589	0.000000	0.000000	0.000000	0.000000
35	399697521299.946533	8594621040.479612	-1.000000	881286802.643594	18568744461.439999	0.013658	0.022000	0.505000	0.037000	0.462854	0.047461	0.000000	0.000000	0.000000	0.000000
36	1350631331279.752930	15536564616.173929	-1.000000	1484043912.731220	18568744461.439999	0.046153	0.024000	0.576000	0.039000	0.836705	0.079922	0.000000	0.000000	0.000000	0.000000
37	1171303772300.036621	21032633997.129669	-1.000000	2174538926.255332	18568744461.439999	0.028885	0.017000	0.423000	0.034000	1.132690	0.117107	0.000000	0.000000	0.000000	0.000000
38	588840533819.908325	10397579239.004099	-1.000000	891647299.997551	18568744461.439999	0.020122	0.023000	0.549000	0.038000	0.559951	0.048019	0.000000	0.000000	0.000000	0.000000
39	1230161181479.964844	14859450736.985247	-1.000000	2171514771.932258	18568744461.439999	0.042037	0.023000	0.564000	0.034000	0.800240	0.116945	0.000000	0.000000	0.000000	0.000000
40	2697577143118.961914	34283800569.494129	-1.000000	0.000000	18568744461.439999	0.038128	0.024000	0.552000	0.038000	1.846318	0.000000	0.000000	0.000000	0.000000	0.000000
41	245964085919.987976	7653112426.470641	-1.000000	773440071.646100	18568744461.439999	0.006570	0.020000	0.472000	0.037000	0.412150	0.041653	0.000000	0.000000	0.000000	0.000000
42	945330120239.941772	16767886440.951303	-1.000000	693752231.477145	18568744461.439999	0.030963	0.026000	0.687000	0.050000	0.903017	0.037361	0.000000	0.000000	0.000000	0.000000
43	1984648722799.820068	28780488081.623638	-1.000000	1381539302.466330	18568744461.439999	0.036247	0.028000	0.569000	0.040000	1.549943	0.074401	0.000000	0.000000	0.000000	0.000000
44	469534790799.950195	10475617647.003929	-1.000000	1572714784.405089	18568744461.439999	0.013040	0.017000	0.455000	0.041000	0.564153	0.084697	0.000000	0.000000	0.000000	0.000000
45	1638686434319.475342	26927915726.478878	-1.000000	980529378.180515	18568744461.439999	0.023162	0.034000	0.817000	0.041000	1.450174	0.052805	0.000000	0.000000	0.000000	0.000000
